Index	Question	Options	Answer	Answer Explanation
1	在航空无线电通讯中字母“H”的发音单词是 {{c1::C}}	Hello||Home||Hotel	3	无线电通话中，字母“H”的单词是“Hotel”，发音是“HOH TELL”。
2	在航空无线电通讯中数字“4”的正确读法是 {{c1::C}}	FOUR||FOW||FOW-er	3	在无线电通讯中，“4”的汉语读法是“四”，英语读法是“FOW-er”。
3	在我国标准的陆空通话中，航向127°应该读作航向 {{c1::A}}	幺两拐||一二七||一百二十七	1	航向后应跟三位数并逐位读出数值。根据无线电陆空通话中数字的标准读法，数字1的汉语读法为“幺”，数字2为“两”，数字7为“拐”。
4	航空器与管制单位初次联系时，应当呼叫 {{c1::C}}	航空器全称和管制单位的简称||航空器的简称和管制单位的全称||航空器和管制单位的全称	3	当建立首次通信联系时，航空器应使用航空器和管制单位或服务单位的全称。
5	航空器驾驶员在陆空通话中应以（）终止复诵。 {{c1::A}}	自己的呼号||OVER||“完毕”	1	陆空通话中，航空器驾驶员应以呼号终止复诵。
6	当管制告知“我听你5 个”，表明通话质量 {{c1::C}}	不清楚||能听清但很困难||非常清晰	3	所发射信号的质量：1个表示不清楚，2个表示可断续听到，3个表示能听清但很困难，4个表示清楚，5个表示非常清晰。
7	地面人员急速伸开两臂和指挥棒，举至头部上方，交叉挥动指挥棒，代表 {{c1::B}}	用刹车||紧急停住||发动机关车	2	用刹车的手势是：一手抬起略高于肩，手张开。确保与飞行机组人员目光接触，然后握拳。在收到飞行机组人员向上翘起大拇指表示确认之前，不许动。发动机关车的手势是：伸出一臂，指挥棒置于身体前方，与肩齐平，将手和指挥棒移至左 肩上方，以横拉动作通过喉部前方将指挥棒移至右肩上方。
8	双向无线电失效时，应答机的编码应该是？ {{c1::B}}	7700||7600||7500	2	紧急情况设置为7700，双向无线电通讯失效时设置为7600，受到非法干扰时设置为7500。
9	航空器遇到安全受到严重威胁，要求立即协助时，在陆空通话中应以（  ）开头。 {{c1::A}}	MAYDAY||PAN-PAN||航空器自己的呼号	1	遇险或紧急通话的第一次通话时，以“MAYDAY”开始表示遇险信号；以“PAN PAN”开始表示紧急信号。
10	在塔台管制机场降落后，飞行员应该在什么时候与地面管制联系？ {{c1::C}}	在关掉虚拟航路之前||在进入可以直接进入停机坪的滑行道之前||当塔台建议时	3	
11	航空器进入二次雷达覆盖区以前，未得到指定编码时，使用 {{c1::A}}	2000||3000||4000	1	应答机特殊编码有：7500：航空器被劫持；7600：无线电通信失效；7700：紧急或遇险情况；2000：航空器进入二次雷达覆盖区域以前，还没给出相应的编码。
12	在航空无线电通讯中字母“A”的发音单词是 {{c1::B}}	Amber||Alpha||Echo	2	在无线电通话中，字母“A”的单词是“Alpha”，发音是“AL FAH”。
